threshold,f1_macro,f1_toxic,precision_toxic,recall_toxic,precision_safe,recall_safe
0.25,0.8142975679293326,0.7036759189797449,0.638095238095238,0.7842809364548495,0.949648711943794,0.9014449796220823
0.255,0.815349015423069,0.7049056603773585,0.6423658872077029,0.7809364548494984,0.9490272373540856,0.9036680251945165
0.26,0.8161970415816453,0.7057034220532319,0.6471408647140865,0.7759197324414716,0.9480620155038759,0.9062615783623564
0.265,0.8176323983569375,0.7075038284839203,0.652542372881356,0.7725752508361204,0.9474700656624179,0.9088551315301964
0.27,0.816731597724196,0.7053364269141531,0.6561151079136691,0.7625418060200669,0.9454265949269792,0.9114486846980363
0.275,0.8179072489373412,0.706342991386061,0.6642120765832106,0.754180602006689,0.9438502673796791,0.9155242682474991
0.28,0.8176319385696622,0.705511811023622,0.6666666666666666,0.7491638795986622,0.9428571428571428,0.9170062986291219
0.285,0.8195283173507328,0.708300395256917,0.671664167916042,0.7491638795986622,0.9429657794676806,0.9188588366061504
0.29,0.8186519739039793,0.7064439140811456,0.6737481031866465,0.7424749163879598,0.9416224412433661,0.9203408669877733
0.295,0.8205064138221989,0.7089013632718525,0.6810477657935285,0.7391304347826086,0.9410876132930514,0.9233049277510189
0.3,0.8208333703392993,0.709105560032232,0.6842923794712286,0.7357859531772575,0.9404672192916352,0.9247869581326417
0.305,0.823541631389245,0.713128038897893,0.6918238993710691,0.7357859531772575,0.9406238256294626,0.9273805113004817
0.31,0.8218770373481967,0.7100977198697068,0.692063492063492,0.7290969899665551,0.9392575928008999,0.9281215264912931
0.315,0.8218172362919911,0.7097301717089125,0.6944,0.725752508361204,0.938622754491018,0.9292330492775102
0.32,0.82214624540539,0.7099424815119145,0.6978998384491115,0.7224080267558528,0.9380134428678119,0.930715079659133
0.325,0.819526957046264,0.7049044056525353,0.7008264462809918,0.7090301003344481,0.9353640416047548,0.9329381252315673
0.33,0.8189810161920714,0.7035175879396985,0.7046979865771812,0.7023411371237458,0.9340984820436875,0.9347906632085958
0.335,0.820557756781469,0.7058823529411765,0.7094594594594594,0.7023411371237458,0.9341959334565619,0.9362726935902186
0.34,0.8184240518030194,0.7021097046413503,0.7086882453151618,0.6956521739130435,0.9328413284132842,0.9366432011856243
0.345,0.8179436934291064,0.7011007620660458,0.7101200686106347,0.6923076923076923,0.9322033898305084,0.9373842163764358
0.35,0.8172166490637749,0.6995744680851064,0.7123050259965338,0.6872909698996655,0.93125,0.9384957391626528
0.355,0.8188043052230489,0.7019641332194705,0.7172774869109948,0.6872909698996655,0.9313509544787077,0.9399777695442757
0.36,0.8179191134517215,0.7003424657534246,0.7175438596491228,0.6839464882943144,0.9306930693069307,0.9403482771396814
0.365,0.8191149580578628,0.7021459227467811,0.7213403880070547,0.6839464882943144,0.9307692307692308,0.9414597999258985
0.37,0.8191804640854328,0.7018150388936906,0.7262969588550984,0.6789297658862876,0.9298758217677137,0.943312337902927
0.375,0.8188403667380123,0.7008695652173913,0.730072463768116,0.6739130434782609,0.9289617486338798,0.9447943682845499
0.38,0.8183415211692076,0.699825479930192,0.7317518248175182,0.6705685618729097,0.9283375773008367,0.9455353834753613
0.385,0.8171828643882637,0.6976336546888694,0.7329650092081031,0.6655518394648829,0.9273783587509078,0.9462763986661726
0.39,0.8160146754473341,0.6954225352112676,0.7342007434944238,0.6605351170568562,0.9264226168901776,0.947017413856984
0.395,0.8143155942998477,0.6921029281277729,0.7372400756143668,0.6521739130434783,0.9248554913294798,0.9484994442386069
0.4,0.812856229448301,0.6892857142857143,0.7394636015325671,0.6454849498327759,0.9236036036036036,0.9496109670248241
0.405,0.8113792759205902,0.6864330637915543,0.7417475728155339,0.6387959866220736,0.9223580158159598,0.9507224898110411
0.41,0.8116499061837712,0.6865401987353207,0.7465618860510805,0.6354515050167224,0.9218077474892395,0.952204520192664
0.415,0.811512340008169,0.6860254083484574,0.75,0.6321070234113713,0.9212316505549588,0.9533160429788811
0.42,0.8098706659985205,0.6830601092896175,0.75,0.6270903010033445,0.9202717196996782,0.9536865505742868
0.425,0.8076544831448689,0.6788990825688074,0.7520325203252033,0.6187290969899666,0.9187165775401069,0.9547980733605039
0.43,0.8059838627491103,0.6758747697974218,0.7520491803278688,0.6137123745819398,0.9177643289426842,0.9551685809559096
0.435,0.8055270947798446,0.6746987951807228,0.7567567567567568,0.6086956521739131,0.9169034090909091,0.9566506113375324
0.44,0.8058842637395358,0.6747663551401869,0.7648305084745762,0.6036789297658863,0.9161061946902654,0.9588736569099666
0.445,0.8023497104893786,0.6685446009389672,0.7623126338329764,0.5953177257525084,0.9144876325088339,0.9588736569099666
0.45,0.8021588669698809,0.6679245283018868,0.7662337662337663,0.5919732441471572,0.9139329805996472,0.9599851796961838
0.455,0.8018564856802561,0.667296786389414,0.7673913043478261,0.5903010033444817,0.9136411702502644,0.9603556872915895
0.46,0.80155290718671,0.6666666666666666,0.7685589519650655,0.5886287625418061,0.913349771046143,0.9607261948869952
0.465,0.8014609938254103,0.666030534351145,0.7755555555555556,0.5836120401337793,0.9125395152792413,0.9625787328640237
0.47,0.7986668680273041,0.6609029779058597,0.7765237020316027,0.5752508361204013,0.9110021023125437,0.9633197480548351
0.475,0.7955165031818905,0.6550387596899225,0.7788018433179723,0.5652173913043478,0.9091861683548725,0.9644312708410523
0.48,0.7956066523644498,0.6550048590864918,0.7819025522041764,0.5635451505016722,0.9089323098394976,0.9651722860318637
0.485,0.7949564006324208,0.6536585365853659,0.7845433255269321,0.560200668896321,0.9083623693379791,0.965913301222675
0.49,0.7966185784862759,0.6562193927522038,0.7919621749408984,0.560200668896321,0.9084899095337509,0.9673953316042979
0.495,0.7966185784862759,0.6562193927522038,0.7919621749408984,0.560200668896321,0.9084899095337509,0.9673953316042979
0.5,0.797127688890793,0.6568338249754179,0.7971360381861575,0.5585284280936454,0.9082696316886727,0.968506854390515
0.505,0.7972195711649805,0.6568047337278107,0.8004807692307693,0.5568561872909699,0.9080180492884415,0.9692478695813265
0.51,0.7957243284810154,0.6541501976284585,0.7995169082125604,0.5535117056856187,0.9073881373569199,0.9692478695813265
0.515,0.7962316505549588,0.6547619047619048,0.8048780487804879,0.5518394648829431,0.9071700727398684,0.9703593923675435
0.52,0.7940545946733143,0.6506986027944112,0.806930693069307,0.5451505016722408,0.905979951607328,0.9711004075583549
0.525,0.793036024053341,0.6485943775100401,0.8115577889447236,0.540133779264214,0.9051397033459814,0.9722119303445721
0.53,0.792693661971831,0.647887323943662,0.8131313131313131,0.5384615384615384,0.9048603929679421,0.9725824379399778
0.535,0.7915836495981232,0.6458123107971746,0.8142493638676844,0.5351170568561873,0.9042699724517906,0.9729529455353835
0.54,0.7916579402346532,0.645748987854251,0.8179487179487179,0.5334448160535117,0.9040247678018576,0.9736939607261949
0.545,0.7909601756445372,0.6443089430894309,0.8212435233160622,0.5301003344481605,0.9034695980762625,0.9744349759170063
0.55,0.7871416670071024,0.6372950819672131,0.8227513227513228,0.520066889632107,0.9016786570743405,0.9751759911078177
0.555,0.7875630758278916,0.637948717948718,0.8249336870026526,0.520066889632107,0.9017123287671233,0.9755464987032234
0.56,0.7859965007890504,0.6351490236382322,0.824,0.5167224080267558,0.9010951403148528,0.9755464987032234
0.565,0.7836864254538751,0.6308169596690796,0.8265582655826558,0.5100334448160535,0.899931693989071,0.9762875138940348
0.57,0.7817702786652467,0.6270833333333333,0.8314917127071824,0.5033444816053512,0.8988074957410562,0.977399036680252
0.575,0.7802099997307458,0.6240837696335079,0.834733893557423,0.4983277591973244,0.8979591836734694,0.9781400518710633
0.58,0.7770136357318052,0.6181434599156118,0.8371428571428572,0.4899665551839465,0.8965049202578894,0.9788810670618747
0.585,0.775410953081625,0.6150583244962884,0.8405797101449275,0.48494983277591974,0.8956639566395664,0.9796220822526862
0.59,0.7762777343832464,0.6162046908315565,0.85,0.48327759197324416,0.8955021981738248,0.981104112634309
0.595,0.7734047647041784,0.6109324758842444,0.8507462686567164,0.4765886287625418,0.8943281566509116,0.9814746202297147
0.6,0.7725897979871874,0.6092572658772875,0.8549848942598187,0.47324414715719065,0.8937963587322993,0.9822156354205261
0.605,0.7721795919486175,0.6084142394822006,0.8571428571428571,0.47157190635451507,0.8935309973045822,0.9825861430159318
0.61,0.7726019744814205,0.6090712742980562,0.8597560975609756,0.47157190635451507,0.8935668575277871,0.9829566506113375
0.615,0.770515589767752,0.6052060737527115,0.8611111111111112,0.4665551839464883,0.8927009754456777,0.9833271582067432
0.62,0.7684125799720876,0.6013071895424836,0.8625,0.46153846153846156,0.8918374202216997,0.9836976658021489
0.625,0.7684105086614764,0.6010928961748634,0.8675078864353313,0.459866220735786,0.8916107382550336,0.9844386809929604
0.63,0.766705462025659,0.5978021978021978,0.8717948717948718,0.45484949832775917,0.890787269681742,0.9851796961837718
0.635,0.7666866261256358,0.5973451327433629,0.8823529411764706,0.451505016722408,0.890337679705784,0.9866617265653946
0.64,0.764967130122333,0.5942350332594235,0.881578947368421,0.44816053511705684,0.8897427330437688,0.9866617265653946
0.645,0.7619289152361479,0.5886287625418061,0.882943143812709,0.4414715719063545,0.8885923949299533,0.9870322341608003
0.65,0.7575632340473722,0.5807174887892377,0.8809523809523809,0.4331103678929766,0.8871128871128872,0.9870322341608003
0.655,0.7566418942601908,0.5788288288288288,0.8862068965517241,0.4297658862876254,0.8865979381443299,0.9877732493516117
0.66,0.7570615330487748,0.5794813979706878,0.889273356401384,0.4297658862876254,0.8866356382978723,0.9881437569470174
0.665,0.7544056232219414,0.5746606334841629,0.8881118881118881,0.42474916387959866,0.8857522417801394,0.9881437569470174
0.67,0.7526260504201681,0.5714285714285714,0.8873239436619719,0.4214046822742475,0.8851642880849652,0.9881437569470174
0.675,0.7476579821647141,0.5622857142857143,0.8880866425992779,0.411371237458194,0.8834437086092716,0.9885142645424231
0.68,0.7453534622616698,0.5579793340987371,0.8901098901098901,0.40635451505016723,0.8826058201058201,0.9888847721378288
0.685,0.742937996897421,0.5532407407407407,0.8984962406015038,0.3996655518394649,0.8815572418343781,0.989996294924046
0.69,0.741509361718421,0.5505226480836237,0.9011406844106464,0.3963210702341137,0.8810151615029663,0.9903668025194516
0.695,0.7405853294506047,0.5488372093023256,0.9007633587786259,0.39464882943143814,0.8807248764415156,0.9903668025194516
0.7,0.7408972972444728,0.5490654205607477,0.9108527131782945,0.39297658862876256,0.8805528134254689,0.9914783253056688
0.705,0.7362288285150901,0.5405405405405406,0.9090909090909091,0.38461538461538464,0.8791064388961892,0.9914783253056688
0.71,0.7366397673275438,0.5411764705882353,0.9126984126984127,0.38461538461538464,0.8791461412151067,0.9918488329010745
0.715,0.7338129703316283,0.5360094451003542,0.9116465863453815,0.3795986622073579,0.8782808398950132,0.9918488329010745
0.72,0.7338129703316283,0.5360094451003542,0.9116465863453815,0.3795986622073579,0.8782808398950132,0.9918488329010745
0.725,0.731918388688128,0.5325443786982249,0.9109311740890689,0.3762541806020067,0.8777049180327869,0.9918488329010745
0.73,0.727146332985749,0.5238095238095238,0.9090909090909091,0.36789297658862874,0.8762684124386252,0.9918488329010745
0.735,0.7246614238396838,0.5191387559808612,0.9117647058823529,0.362876254180602,0.8754494932984636,0.9922193404964802
